RCAB,Code,Name,Start Date,End Date,Status
ASQA,40697,JOAN LAWMAN SCHOOL OF BEAUTY PTY LTD,5-Jul-13,1-Apr-23,Current
ASQA,40698,Galaxy Training Australia Pty. Ltd.,7-Jul-13,6-Jul-18,Current
ASQA,40699,EDUCARE TRAINING INSTITUTE AUSTRALASIA PTY LTD,7-Jul-13,6-Jul-18,Current
ASQA,40700,RED MAKO LEARNING PTY LTD,7-Jul-13,6-Jul-18,Current
ASQA,40701,CPD Training Pty Ltd,10-Jul-13,9-Jul-18,Current
ASQA,40702,REGIONAL TRAINING SERVICES QLD PTY LTD,21-Jul-13,20-Jul-18,Current
ASQA,40703,JOHN R BARTLETT CONSULTING PTY. LIMITED,19-Jul-13,18-Jul-18,Current
ASQA,40704,NFTI Pty Ltd as trustees for The Phoenix Trust,24-Jul-13,23-Jul-18,Current
ASQA,40705,PROMED INTERNATIONAL PTY. LTD.,18-Jul-13,17-Jul-18,Current
ASQA,40706,Hamro Institute of Business Technology Pty Ltd,31-Jul-13,30-Jul-18,Current
ASQA,40707,UNIQUE TRAINING ACADEMY PTY LTD,1-Aug-13,31-Jul-18,Current
ASQA,40708,ELECTRIX PTY. LTD.,29-Jul-13,28-Jul-18,Current
ASQA,40709,VALUE TRAINING & ASSESSMENTS PTY LTD,7-Aug-13,6-Aug-18,Current
Vic VRQA,4071,Scientific Management Associates (Australia) Pty Ltd,1-Oct-93,6-Aug-07,Non-Current
ASQA,40710,COMMUNITY SKILLS TRAINING AND DEVELOPMENT PTY LTD,11-Aug-13,10-Aug-18,Current
ASQA,40711,GTE National Training Corporation Pty Ltd,11-Aug-13,10-Aug-18,Current
ASQA,40712,APC LOGISTICS PTY LTD,9-Aug-13,8-Aug-18,Current
ASQA,40713,Mick Peterson & Associates Pty Ltd,9-Aug-13,8-Aug-18,Current
ASQA,40714,PEOPLEWORKS PTY LTD,13-Aug-13,12-Aug-18,Current
ASQA,40715,KIRK PINNER,20-Aug-13,19-Aug-18,Current
ASQA,40716,International Teacher Training Academy (Australia) Pty Ltd,20-Aug-13,19-Aug-18,Current
ASQA,40717,Madigan King Pty Ltd,27-Aug-13,26-Aug-18,Current
ASQA,40718,IVY INSTITUTE PTY LTD,5-Sep-13,4-Sep-18,Current
ASQA,40719,CRANAPLUS INCORPORATED,6-Sep-13,5-Sep-18,Current
Vic VRQA,4072,i-GAIN Quality Learning Inc,1-Dec-92,16-Nov-10,Non-Current
ASQA,40720,FLIGHT OPTIONS (AUSTRALIA) PTY LTD,9-Sep-13,8-Sep-18,Current
ASQA,40721,AMBITION TRAINING INSTITUTE PTY LTD,9-Sep-13,8-Sep-18,Current
ASQA,40722,INTERNATIONAL DEFENCE AND AEROSPACE TRAINING PTY LTD,9-Sep-13,30-Jun-15,Cancelled
ASQA,40723,AUSTRALIAN SCHOOL OF FINISHING TRADES PTY LTD,9-Sep-13,8-Sep-18,Current
ASQA,40724,Gwydir Shire Council,5-Sep-13,4-Sep-18,Current
ASQA,40725,INTERNATIONAL SCREEN ACADEMY PTY LTD,5-Sep-13,4-Sep-18,Current
ASQA,40726,BIRBECK EDUCATION SAFETY AND TRAINING PTY. LTD.,22-Sep-13,21-Sep-18,Current
ASQA,40727,MinRes Training Institute Pty Ltd,22-Sep-13,21-Sep-18,Current
ASQA,40729,"Lowry, Ernest George",27-Sep-13,26-Sep-18,Current
ASQA,40730,Australian Institute of Advanced Studies Pty Ltd,30-Sep-13,29-Sep-18,Current
ASQA,40731,CAROL DOYLE,1-Oct-13,30-Sep-18,Current
ASQA,40732,Australian NIT College Pty Ltd,2-Oct-13,1-Oct-18,Current
ASQA,40733,MY TRADE START PTY LTD,1-Oct-13,30-Sep-18,Current
ASQA,40734,KERRISON COLLEGE PTY LTD,4-Oct-13,3-Oct-18,Current
ASQA,40735,RECALL FIRST AID PTY LTD,3-Oct-13,2-Oct-18,Current
ASQA,40736,AUSTRALIAN NURSING AND MIDWIFERY FEDERATION (TASMANIAN BRANCH),8-Oct-13,9-Oct-18,Current
ASQA,40737,FORSYTHES TRAINING PTY LIMITED,27-Sep-13,26-Sep-18,Current
ASQA,40738,RENTALS R US REAL ESTATE PTY LIMITED,15-Oct-13,30-Jun-15,Cancelled
ASQA,40739,THOUGHTPLANTERS (AUSTRALIA) PTY LTD,16-Oct-13,15-Oct-18,Current
ASQA,4074,Southern Edge Training Pty Ltd,1-Jul-11,30-Apr-16,Current
ASQA,40740,DIY Training Services Pty Ltd,18-Oct-13,17-Oct-18,Current
ASQA,40741,BALLET AUSTRALASIA LIMITED,20-Oct-13,19-Oct-18,Current
ASQA,40742,Wise Driving School Pty. Ltd.,20-Oct-13,19-Oct-18,Current
ASQA,40743,AUSTRALIAN TERTIARY ACADEMY PTY. LTD.,20-Oct-13,19-Oct-18,Current
ASQA,40744,AQI HOLDINGS PTY LTD AS TRUSTEE FOR AQI TRUST,20-Oct-13,19-Oct-18,Current
ASQA,40745,West Moreton Hospital and Health Service,20-Oct-13,19-Oct-18,Current
ASQA,40746,Lucky Beans Pty Ltd,20-Oct-13,19-Oct-18,Current
ASQA,40747,REACH COMMUNITY COLLEGE PTY LTD,21-Oct-13,20-Oct-18,Current
ASQA,40748,THE INSTITUTE OF CULINARY EXCELLENCE PTY LTD,21-Oct-13,20-Oct-18,Current
ASQA,40749,FACE AGENCY PTY LTD,21-Oct-13,20-Oct-18,Current
Vic VRQA,4075,Selby Community House,1-Dec-96,31-Dec-03,Non-Current
ASQA,40750,PARADE COLLEGE BUNDOORA,16-Oct-13,15-Oct-18,Current
ASQA,40751,IPT AUSTRALIA LIMITED,22-Oct-13,21-Oct-18,Current
ASQA,40752,HAUSMANN SCHOOL OF PUBLIC RELATIONS PTY LIMITED,23-Oct-13,22-Oct-18,Current
ASQA,40753,WILSON HEALTH PTY LTD,28-Oct-13,27-Oct-18,Current
ASQA,40754,THOMSON BRIDGE PTY LTD,25-Oct-13,24-Oct-18,Current
ASQA,40755,BRICKLAYER TRAINING AUSTRALIA LIMITED,28-Oct-13,27-Oct-18,Current
ASQA,40756,NJ TRAINING SOLUTIONS PTY LTD,4-Nov-13,11-Jun-14,Cancelled
ASQA,40757,AACAT PTY LTD,4-Nov-13,3-Nov-18,Current
ASQA,40758,MURRUMBA STATE SECONDARY COLLEGE,30-Oct-13,29-Oct-18,Current
ASQA,40759,H & A TRAINING SERVICES PTY LTD,5-Nov-13,7-Sep-15,Cancelled
ASQA,4076,South West Victorian SEAL INC,1-Jan-16,31-Dec-22,Current
ASQA,40760,CONNECT WORKPLACE TRAINING AND ASSESSMENT PTY LTD (in liquidation),6-Nov-13,7-Oct-15,Cancelled
ASQA,40761,ORBUS3 PTY LTD,6-Nov-13,5-Nov-18,Current
ASQA,40762,DRAUTTO PTY LTD,7-Nov-13,6-Nov-18,Current
ASQA,40763,Mental Health Coalition of South Australia Incorporated,7-Nov-13,6-Nov-18,Current
ASQA,40764,SURVIVE FIRST AID PTY LTD,8-Nov-13,7-Nov-18,Current
ASQA,40765,CARDIAC ELECTROPHYSIOLOGY INSTITUTE OF AUSTRALASIA PTY LTD,11-Nov-13,10-Nov-18,Current
ASQA,40766,Open Training Institute Pty Ltd,11-Nov-13,10-Nov-18,Current
ASQA,40767,Riverina Plant Operators School Pty Ltd ATF Riverina Plant Operators School Unit Trust,11-Nov-13,10-Nov-18,Current
ASQA,40768,THE WAREHOUSE MANAGEMENT TRAINING INSTITUTE PTY LTD,13-Nov-13,12-Nov-18,Current
ASQA,40769,AAA LEN'S DRIVING SCHOOL,12-Nov-13,11-Nov-18,Current
Vic VRQA,4077,Serve-Safe Food Hygiene Training Services Pty Ltd,1-May-95,31-May-09,Non-Current
ASQA,40770,Stratus Training Services Pty Ltd,18-Nov-13,17-Nov-18,Current
ASQA,40771,AUSTRALIAN TECHNOLOGY AND TRADE COLLEGE PTY. LTD.,18-Nov-13,17-Nov-18,Current
ASQA,40772,Australian Institute of Resources Training Pty Ltd,18-Nov-13,17-Nov-18,Current
ASQA,40773,THE COLLEGE OF THE AUSTRALIAN INSTITUTE OF RADIOGRAPHY LTD.,18-Nov-13,17-Nov-18,Current
ASQA,40774,THE MAKEUP TECHNICIANS PTY LTD,20-Nov-13,19-Nov-18,Current
ASQA,40775,MVA Engineering Pty Ltd,22-Nov-13,21-Nov-18,Current
ASQA,40776,"Osten, Adam J",26-Nov-13,25-Nov-18,Current
ASQA,40777,Best Restaurant Training Pty Ltd as Trustee for Trembath Family Trust,26-Nov-13,25-Nov-18,Current
ASQA,40778,PIEF RTO Services Limited,26-Nov-13,25-Nov-18,Current
ASQA,40779,CHD PARTNERS PTY LIMITED,26-Nov-13,25-Nov-18,Current
ASQA,4078,Service Industry Advisory Group Pty Ltd,24-Dec-01,30-Nov-12,Non-Current
ASQA,40780,DRIVEN TRAINING PTY LTD as The trustee for the Driven Trust,30-Nov-13,29-Nov-18,Current
ASQA,40781,"FARROW, MARK WILLIAM",30-Nov-13,29-Nov-18,Current
ASQA,40782,FIRST DOOR TRAINING AND DEVELOPMENT PTY. LTD.,30-Nov-13,29-Nov-18,Current
ASQA,40783,ADVANCED TRADE TRAINING CENTRE PTY LTD,30-Nov-13,29-Nov-18,Current
ASQA,40784,AUSTRALIAN BUSINESS INSTITUTE PTY LTD,3-Dec-13,29-Sep-14,Cancelled
ASQA,40785,BUILDING INDUSTRY TRAINING PTY. LTD.,3-Dec-13,2-Dec-18,Current
ASQA,40786,CORMG TRAINING PTY LTD,3-Dec-13,2-Dec-18,Current
ASQA,40787,NAMBUCCA VALLEY CARE LIMITED,3-Dec-13,2-Dec-18,Current
ASQA,40788,NITHI COLLEGE PTY LTD,3-Dec-13,2-Dec-18,Current
ASQA,40789,PRIVATE INVESTIGATORS' COLLEGE OF AUSTRALIA PTY LTD,3-Dec-13,2-Dec-18,Current
ASQA,40790,SEEC ABILITY Pty Ltd as the Trustee for SEEC Ability Trust,3-Dec-13,2-Dec-18,Current
ASQA,40791,WATTO TRAINING PTY LTD,3-Dec-13,2-Dec-18,Current
ASQA,40792,OUTOTEC PTY LTD,9-Dec-13,8-Dec-18,Current
ASQA,40793,Complete IT Training Pty Ltd,10-Dec-13,9-Dec-18,Current
ASQA,40794,RTO CONNECT PTY LTD,10-Dec-13,9-Dec-18,Current
ASQA,40795,CHARLES STURT UNIVERSITY,10-Dec-13,9-Dec-18,Current
ASQA,40796,NEW AGE PROFESSIONALS PTY LTD,12-Dec-13,11-Dec-18,Current
ASQA,40797,Tred Consultants Pty Ltd,12-Dec-13,11-Dec-18,Current
ASQA,40798,AUSTRALIAN EMPLOYMENT & TRAINING GROUP PTY LTD,12-Dec-13,11-Dec-18,Current
ASQA,40799,KINESIOLOGY ENTERPRISES PTY LTD,14-Dec-13,13-Dec-18,Current
ASQA,40800,SUNSHINE STATE INSTITUTE PTY LTD,14-Dec-13,13-Dec-18,Current
ASQA,40801,ORA FITNESS PTY LTD,17-Dec-13,16-Dec-18,Current
ASQA,40802,Health Education Australia Limited,17-Dec-13,16-Dec-18,Current
ASQA,40803,CAREFLIGHT LIMITED,13-Dec-13,12-Dec-18,Current
ASQA,40804,WORK INTEGRATED LEARNING AUSTRALIA PTY LTD,13-Dec-13,12-Dec-18,Current
ASQA,40805,Australian Pilates Method Association Incorporated,17-Dec-13,16-Dec-18,Current
ASQA,40806,Providence Consulting Group Pty Ltd,18-Dec-13,30-Jun-15,Cancelled
ASQA,40807,THE ROMAN CATHOLIC TRUST CORPORATION FOR THE DIOCESE OF CAIRNS,19-Dec-13,18-Dec-18,Current
ASQA,40808,LOCKHART STATE SCHOOL,19-Dec-13,18-Dec-18,Current
ASQA,40809,Celemetrix Professional Services Pty Ltd,19-Dec-13,18-Dec-18,Current
Vic VRQA,4081,McGuire College,1-Feb-95,30-Aug-13,Cancelled
ASQA,40810,ACG NATIONAL PTY LTD,20-Dec-13,28-Sep-15,Cancelled
ASQA,40811,Indus Institute Pty Ltd,22-Dec-13,21-Dec-18,Current
ASQA,40812,Paws Pet Sitters Group Pty Ltd,22-Dec-13,27-Aug-15,Cancelled
ASQA,40813,QIHE Pty Ltd,22-Dec-13,21-Dec-18,Current
ASQA,40814,ANRAN PTY LTD,22-Dec-13,21-Dec-18,Current
ASQA,40815,AMINYA NATURAL THERAPIES PTY LTD,22-Dec-13,21-Dec-18,Current
ASQA,40816,RAE-ANNE MCMAHON,22-Dec-13,21-Dec-18,Current
ASQA,40817,C Chopping and C E Finucan,22-Dec-13,21-Dec-18,Current
ASQA,40818,REAL TRAINING OUT COMES (RTO) PTY LTD,22-Dec-13,21-Dec-18,Current
ASQA,40819,R & C Hilditch Pty Ltd,22-Dec-13,21-Dec-18,Current
ASQA,40820,PIMS CONSULTING PTY LTD,22-Dec-13,21-Dec-18,Current
ASQA,40821,QUEENSLAND COLLEGE OF MUSIC PTY LTD,22-Dec-13,21-Dec-18,Current
ASQA,40822,SALTBUSH TRAINING PTY LTD,20-Dec-13,19-Dec-18,Current
ASQA,40823,JOBS AUSTRALIA ENTERPRISES LTD,23-Dec-13,22-Dec-18,Current
ASQA,40824,J.N FLORISSON & S.J FLORISSON,2-Jan-14,1-Jan-19,Current
ASQA,40825,INDUSTRY COMPLIANT TRAINING LTD.,2-Jan-14,1-Jan-19,Current
ASQA,40826,DOGS AT WORK GROUP PTY LTD,6-Jan-14,5-Jan-19,Current
ASQA,40827,OMEGA TRAINING AUSTRALIA PTY LTD,7-Jan-14,6-Jan-19,Current
ASQA,40828,AUSTRALIAN TRAINING AND QUALITY COLLEGE PTY LTD,7-Jan-14,6-Jan-19,Current
ASQA,40829,ADVANCE TRAINING PTY LTD,13-Jan-14,12-Jan-19,Current
Vic VRQA,4083,Site Security Training Pty Ltd,1-Sep-96,2-Jun-10,Non-Current
ASQA,40830,QUALITY TRAINING GROUP PTY. LTD.,15-Jan-14,14-Jan-19,Current
ASQA,40831,NORTHERN VOLUNTEERING SA INC,15-Jan-14,14-Jan-19,Current
ASQA,40832,Hart Life Coaching Pty Ltd,14-Jan-14,13-Jan-19,Current
ASQA,40833,Macbec Pty Ltd,15-Jan-14,14-Jan-19,Current
ASQA,40834,Blanch Family Holdings Pty Ltd,20-Jan-14,19-Jan-19,Current
ASQA,40835,AUSTRALIAN INSTITUTE OF BUSINESS INTELLIGENCE PTY LTD,20-Jan-14,19-Jan-19,Current
ASQA,40836,S.T Solutions Pty Ltd,20-Jan-14,19-Jan-19,Current
ASQA,40837,PRO RIG PTY LTD,21-Jan-14,20-Jan-19,Current
ASQA,40838,ATB TRAINING PTY LTD,21-Jan-14,20-Jan-19,Current
ASQA,40839,AUSTRALIAN COLLEGE OF MIDWIVES Ltd,22-Jan-14,21-Jan-19,Current
Vic VRQA,4084,SKF Australia Pty Ltd,3-Jan-97,31-Mar-05,Non-Current
ASQA,40840,Traffic Management People TMP Pty Ltd as Trustee for the Abrahamson Family Trust,29-Jan-14,28-Jan-19,Current
ASQA,40841,GA & MM PTY LTD,30-Jan-14,30-Jan-19,Current
ASQA,40842,Hunter Youth & Training Services Pty Ltd,30-Jan-14,19-Nov-15,Cancelled
ASQA,40843,PACIFIC INSTITUTE OF TECHNOLOGY PTY LTD,30-Jan-14,29-Jan-19,Current
ASQA,40844,EMMA WATSON,3-Feb-14,2-Feb-19,Current
ASQA,40845,Australian Safety & Training Group Pty Ltd ATF ASTGroup Trust,3-Feb-14,2-Feb-19,Current
ASQA,40846,TRADE TRAINING GROUP PTY LTD,3-Feb-14,2-Feb-19,Current
ASQA,40847,PASSMORES' FOUNDATION LIMITED,6-Feb-14,5-Feb-19,Current
ASQA,40848,AUSTRALASIAN INSTITUTE OF MARINE SURVEYORS INC,7-Feb-14,6-Feb-19,Current
ASQA,40849,THE PENN COLLEGE PTY LIMITED,10-Feb-14,9-Feb-19,Current
Vic VRQA,4085,"Key Employment, Training and Community Solutions Inc",1-Jan-93,11-May-07,Non-Current
ASQA,40850,EM HAURI PTY LTD,10-Feb-14,9-Feb-19,Current
ASQA,40851,SA DRIVER EDUCATION PTY LTD,10-Feb-14,9-Feb-19,Current
ASQA,40852,ADELAIDE INSTITUTE OF HAIR & BEAUTY PTY LTD,12-Feb-14,11-Feb-19,Current
ASQA,40853,CENTRE FOR CUSTOMS AND EXCISE STUDIES PTY LTD,14-Feb-14,13-Feb-19,Current
ASQA,40854,Built Environment Design Institute Ltd,18-Feb-14,17-Feb-19,Current
ASQA,40855,GLOBAL SKILLS TRAINING ACADEMY PTY LTD,18-Feb-14,17-Feb-19,Current
ASQA,40856,Direct Recruitment Pty Ltd atf the Trustee for Croft Family Trust,18-Feb-14,17-Feb-19,Current
ASQA,40857,AUSTRALASIAN CENTRE FOR WORK EDUCATION PTY. LTD.,18-Feb-14,17-Feb-19,Current
ASQA,40858,AMANA INTERNATIONAL TRAINING ACADEMY PTY. LTD.,18-Feb-14,17-Feb-19,Current
ASQA,40859,Canberra Academy of Dramatic Art Pty Ltd,18-Feb-14,17-Feb-19,Current
Vic VRQA,4086,SkillsLink Pty Ltd,6-Jan-97,30-Jun-05,Non-Current
ASQA,40860,Active Transition Training Pty Ltd as Trustee for Active Transition Training Trust,24-Feb-14,23-Feb-19,Current
ASQA,40861,GOLDEN FARAH TRAINING INSTITUTE PTY LTD,26-Feb-14,10-Nov-15,Cancelled
ASQA,40862,REDR AUSTRALIA LIMITED,27-Feb-14,26-Feb-19,Current
ASQA,40863,HUTCHISON PORTS AUSTRALIA PTY LIMITED,25-Feb-14,1-May-15,Cancelled
ASQA,40864,Compass Rose International College Pty Ltd,27-Feb-14,26-Feb-19,Current
ASQA,40865,Tabcorp Training Pty Ltd,21-Feb-14,20-Feb-19,Current
ASQA,40866,ECHO ENTERTAINMENT RTO PTY LTD,5-Mar-14,4-Mar-19,Current
ASQA,40867,TRAINER SERVICES PTY LTD,4-Mar-14,3-Mar-19,Current
ASQA,40868,INSIGHT TRAINING ACADEMY PTY LTD,6-Mar-14,5-Mar-19,Current
ASQA,40869,COUPAR ANGUS ENTERPRISES PTY LTD,6-Mar-14,3-Aug-15,Cancelled
Vic VRQA,4087,SkillsPlus Ltd,1-Jan-93,30-Jan-20,Current
ASQA,40870,Astar Training Institute Pty Ltd,7-Mar-14,6-Mar-19,Current
ASQA,40871,GL TRAINING PTY LTD,12-Mar-14,12-Mar-19,Current
ASQA,40872,SAPERE PTY. LTD.,12-Mar-14,11-Mar-19,Current
ASQA,40873,SELECT SECURITY TRAINING ACADEMY PTY LTD,12-Mar-14,11-Mar-19,Current
ASQA,40875,Trained Up PTY LTD,14-Mar-14,13-Mar-19,Current
ASQA,40876,Central Coast Business College Pty Limited,12-Mar-14,11-Mar-19,Current
ASQA,40877,VIGIL GROUPS PTY LTD,12-Mar-14,11-Mar-19,Current
ASQA,40878,Faith Baptist Church Incorporated,12-Mar-14,11-Mar-19,Current
ASQA,40879,AUCTUS Consulting Pty Ltd,17-Mar-14,16-Mar-19,Current
ASQA,40880,AUSTRALIAN MEDICAL ASSOCIATION (SOUTH AUSTRALIA) INCORPORATED,25-Mar-14,24-Mar-19,Current
ASQA,40881,NEXTSTEP RESOURCES PTY. LTD.,27-Mar-14,26-Mar-19,Current
ASQA,40882,THE CANBERRA TRAINING SCHOOL PTY. LTD.,27-Mar-14,26-Mar-19,Current
ASQA,40883,TRAYN PTY LTD,27-Mar-14,26-Mar-19,Current
ASQA,40884,AUSTRALIAN INSTITUTE OF FITNESS (VIC & TAS) PTY LTD,1-Apr-14,31-Mar-19,Current
ASQA,40885,AUSTRADES TRAINING PTY. LTD.,27-Mar-14,26-Mar-19,Current
ASQA,40886,Titan Training Group Pty Ltd,1-Apr-14,31-Mar-19,Current
ASQA,40887,JUST TRAINING SOLUTIONS PTY LTD,1-Apr-14,31-Mar-19,Current
ASQA,40888,ANIMAL SCIENCES TRAINING SERVICES PTY. LTD.,1-Apr-14,31-Mar-19,Current
ASQA,40889,TECTRA AUSTRALIA PTY LTD,7-Apr-14,6-Apr-19,Current
Vic VRQA,4089,Fabian Reid Pty Ltd,1-Mar-96,31-Mar-04,Non-Current
ASQA,40890,P.R.O. Management Pty Ltd ATF The PRO Management Trust,7-Apr-14,6-Apr-19,Current
ASQA,40891,Sulliru Enterprises Pty Ltd as the trustee for J Devine Family Trust,7-Apr-14,6-Apr-19,Current
ASQA,40892,AUSTRALIA CHRISTIAN COLLEGE PTY LTD,7-Apr-14,6-Apr-19,Current
ASQA,40893,ACADEMY OF GLOBAL BUSINESS TRAINING PTY LTD,11-Apr-14,10-Apr-19,Current
ASQA,40894,Enterprise Improvement Solutions Australia Pty Ltd atf Enterprise Improvement Solutions Australia Trust,11-Apr-14,10-Apr-19,Current
ASQA,40895,A BLISS CLINIC PTY LTD,11-Apr-14,10-Apr-19,Current
ASQA,40896,NSW BUSINESS COLLEGE PTY LTD,11-Apr-14,10-Apr-19,Current
ASQA,40897,"KLING, MARGARET ROSE",15-Apr-14,14-Apr-19,Current
ASQA,40898,AUSTRALIAN CENTRE OF FURTHER EDUCATION PTY LTD,15-Apr-14,14-Apr-19,Current
ASQA,40899,OZWIDE SKILLS TRAINING CENTRE PTY LTD,15-Apr-14,14-Apr-19,Current
Vic VRQA,4090,Songlines Music Aboriginal Corporation,7-Jan-95,31-Jul-03,Non-Current
ASQA,40900,De Novo Training Pty Ltd,17-Apr-14,16-Apr-19,Current
ASQA,40901,NPT HEART PTY LTD,17-Apr-14,16-Apr-19,Current
ASQA,40902,Southern Solutions - Training Services Pty Ltd,28-Apr-14,27-Apr-19,Current
ASQA,40903,ULONG PTY LTD,28-Apr-14,27-Apr-19,Current
ASQA,40904,S.M RESTAR & H.P SUND,24-Apr-14,1-Feb-16,Cancelled
ASQA,40905,Acquired Awareness Training Centre Pty Ltd,29-Apr-14,28-Apr-19,Current
ASQA,40906,BALLARAT DISTRICT NURSING AND HEALTHCARE INC.,1-May-14,2-Oct-15,Cancelled
ASQA,40907,Health Security & Education Pty Ltd as trustee for Health Security & Education Unit Trust,1-May-14,30-Apr-19,Current
ASQA,40908,ACBD PTY LTD,1-May-14,30-Apr-19,Current
ASQA,40909,NARTEL ENTERPRISES PTY LTD,1-May-14,30-Apr-19,Current
Vic VRQA,4091,New Hope Migrant and Refugee Centre Inc.,1-Dec-92,7-Jun-09,Non-Current
ASQA,40910,BIG FUTURE TRAINING INSTITUTE PTY LTD,1-May-14,30-Apr-19,Current
ASQA,40911,AUSTRALIAN ONLINE MANAGEMENT COLLEGE PTY LTD,1-May-14,30-Apr-19,Current
ASQA,40912,AUSTRALIAN SOUTHERN STAR TRAINING INSTITUTE PTY LTD,2-May-14,1-May-19,Current
ASQA,40913,AUSTRALIAN VOCATIONAL TRAINING INSTITUTE PTY. LTD.,2-May-14,1-May-19,Current
ASQA,40914,SPICE TRAINING PTY LTD,2-May-14,1-May-19,Current
ASQA,40915,THE AUSTRALASIAN COLLEGE OF DERMATOLOGISTS,5-May-14,4-May-19,Current
ASQA,40916,Coastal Training Suppliers Pty Ltd,5-May-14,4-May-19,Current
ASQA,40917,VITAL RESUS AUSTRALIA PTY LTD,5-May-14,4-May-19,Current
ASQA,40918,AXIOM COMPLIANCE NEWCASTLE PTY LTD,5-May-14,4-May-19,Current
ASQA,40919,RENTOKIL INITIAL PTY LTD,6-May-14,5-May-19,Current
ASQA,40920,FIRST AID ACADEMY PTY LTD,7-May-14,6-May-19,Current
ASQA,40921,SCA Hair & Beauty Academy Pty Ltd,8-May-14,30-Nov-16,Current
ASQA,40922,Driver Skills International Pty Ltd,12-May-14,11-May-19,Current
ASQA,40923,EXCELLENT TRAINING INSTITUTE PTY LTD,7-May-14,6-May-19,Current
ASQA,40924,SMART VISION TRAINING PROPRIETARY LIMITED,14-May-14,13-May-19,Current
ASQA,40925,KGET - Kelkel Global Education & Training Pty Ltd,14-May-14,13-May-19,Current
ASQA,40926,INSCOPE TRAINING PTY LTD,14-May-14,13-May-19,Current
ASQA,40927,GO2 SKILLS & TRAINING PTY LTD,14-May-14,13-May-19,Current
ASQA,40928,MIHAVEN PTY. LTD.,14-May-14,13-May-19,Current
ASQA,40929,Co-ordinated Support Services Pty Ltd,14-May-14,13-May-19,Current
Vic VRQA,4093,Summer Institute of Linguistics Australia,1-Jun-94,12-Jan-10,Non-Current
ASQA,40930,MELBCARLTON FAMILY DAY CARE PTY LTD,14-May-14,13-May-19,Current
ASQA,40931,QUEENSLAND TRANSPORT & LOGISTICS TRAINING PTY LTD,15-May-14,14-May-19,Current
ASQA,40932,HORIZON2 PTY LTD,15-May-14,14-May-19,Current
ASQA,40933,College for Australian Early Childhood Educators Pty Ltd,16-May-14,15-May-19,Current
ASQA,40934,GREENFIELD EDUCATION PTY. LTD.,15-May-14,14-May-19,Current
ASQA,40935,AAA SWISS TRAINING PTY LTD,15-May-14,14-May-19,Current
ASQA,40936,VICTORIAN ARABIC SOCIAL SERVICES INC,14-May-14,13-May-19,Current
ASQA,40937,TASMANIAN HEALTH SERVICE,19-May-14,18-May-19,Current
ASQA,40938,Master Group (Aust.) Pty Ltd,15-May-14,14-May-19,Current
ASQA,40939,Central Queensland University,27-May-14,31-Aug-17,Current
Vic VRQA,4094,Southcorp Australia Pty Ltd (VIC),1-Nov-97,9-Oct-00,Non-Current
ASQA,40940,THE OPEN SEMINAR PTY. LTD.,26-May-14,25-May-19,Current
ASQA,40941,PILATESITC PTY LTD,30-May-14,29-May-19,Current
ASQA,40942,SIMILI TRAINING AUST PTY LTD,30-May-14,29-May-19,Current
ASQA,40943,WASIRA HAJI AHMED,28-May-14,27-May-19,Current
ASQA,40945,FLEXIBLE BUSINESS LEARNING PTY LTD,5-Jun-14,4-Jun-19,Current
ASQA,40946,FIT INTERNATIONAL & PARTNERS PTY. LTD.,5-Jun-14,18-May-15,Cancelled
ASQA,40947,AUSTRALIAN SKILLS AND TRAINING ACADEMY HOLDINGS PTY LIMITED,6-Jun-14,5-Jun-19,Current
ASQA,40948,A. & J. HALL PTY. LTD. ATF the Hall and Van Son Discretionary Trust,6-Jun-14,5-Jun-19,Current
ASQA,40949,INTERTEK C&T AUSTRALIA PTY LTD AS TRUSTEE FOR INTERTEK C&T AUSTRALIA UNIT TRUST,17-Jun-14,16-Jun-19,Current
Vic VRQA,4095,The Southern School of Natural Therapies Limited,1-Aug-96,4-Dec-10,Non-Current
ASQA,40950,RHODES GROUP AUSTRALIA PTY. LTD.,17-Jun-14,16-Jun-19,Current
ASQA,40951,ALPHA ACADEMY PTY LTD,18-Jun-14,17-Jun-19,Current
ASQA,40952,ENTREPRENEUR EDUCATION PTY LTD,18-Jun-14,17-Jun-19,Current
ASQA,40953,TRAINING AUSTRALIA FIRST PTY LTD,18-Jun-14,17-Jun-19,Current
ASQA,40954,ACTA COLLEGE PTY LTD,22-Jun-14,21-Jun-19,Current
ASQA,40955,APTITUDE SKILLS & KNOWLEDGE TRAINING COLLEGE PTY LTD,22-Jun-14,21-Jun-19,Current
ASQA,40956,DANCE PERFORMANCE COLLEGE QUEENSLAND PTY LTD,22-Jun-14,21-Jun-19,Current
ASQA,40957,NATIONAL INSTITUTE PTY LTD,23-Jun-14,22-Jun-19,Current
ASQA,40958,BAKER EBERT PTY LTD,25-Jun-14,24-Jun-19,Current
ASQA,40959,Aster College Pty Ltd,25-Jun-14,24-Jun-19,Current
Vic VRQA,4096,Scope (Vic) Ltd,1-Oct-93,29-Oct-12,Cancelled
ASQA,40960,DEAN MICHAEL KENNY,25-Jun-14,24-Jun-19,Current
ASQA,40961,KNOWLEDGEACCESS PTY LTD,25-Jun-14,24-Jun-19,Current
ASQA,40962,PROFESSIONAL TRAINING COLLEGE PTY LTD,25-Jun-14,24-Jun-19,Current
ASQA,40963,STAYSAFE INDUSTRY TRAINING PTY LTD,25-Jun-14,24-Jun-19,Current
