RCAB,Code,Name,Start Date,End Date,Status
SA DFEEST,238,Holden Ltd,10-Dec-98,31-Dec-03,Non-Current
SA DFEEST,239,Avago Employment Programme Inc,30-Jun-98,30-Jun-01,Non-Current
ASQA,240,Heta Incorporated,1-Oct-12,30-Sep-17,Current
ASQA,241,Australian Institute of Management (SA Division) Inc,5-Sep-03,1-Oct-14,Cancelled
SA DFEEST,243,Eastside SA Inc,16-Apr-03,31-Mar-08,Non-Current
ASQA,246,Australian Broadcasting Corporation,5-Dec-03,13-Sep-11,Non-Current
ASQA,247,Davenpark Pty Ltd,18-Mar-03,31-Dec-13,Non-Current
ASQA,249,MVJ Enterprises Pty Ltd,1-Dec-12,30-Nov-17,Current
WA TAC,250,Albany and Districts Skillshare,30-Sep-94,31-Dec-01,Non-Current
WA TAC,251,Armadale Regional Training Services Inc (Skillshare),24-Jun-94,30-Jun-96,Non-Current
WA TAC,252,Maddington Skillshare/Maddington Training Centre Inc,24-Jun-94,30-Jun-96,Non-Current
WA TAC,253,Melville Skillshare,24-Jun-94,30-Jun-96,Non-Current
WA TAC,254,Community First International Ltd,9-Nov-95,30-Sep-14,Non-Current
WA TAC,255,Eastern Pilbara College of TAFE (refer to Pilbara College),9-Nov-95,31-May-96,Cancelled
WA TAC,257,Western Pacific Consulting Group Pty Ltd,14-Dec-95,31-Dec-00,Non-Current
WA TAC,258,Pundulmurra College,25-Oct-96,31-Dec-00,Non-Current
ASQA,260,Chisholm Institute,1-Jul-15,30-Jun-22,Current
ASQA,262,Assembly of God Paradise Inc,1-Jan-15,31-Dec-19,Current
ASQA,264,SA Ambulance Service,1-Jul-14,30-Jun-19,Current
SA DFEEST,265,Civil Construction Skills & Technology Centre Inc,30-Jan-04,29-Jan-09,Non-Current
NSW VETAB,266,Dusseldorp Skills Forum Inc,10-Jun-94,28-May-02,Non-Current
ASQA,269,Think: Colleges Pty Ltd,26-Nov-14,25-Nov-19,Current
